subject,labels(n),r,r-type,object
"{""uri"":bnode://node1f07tfve2x1173}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1291}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1271}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1098}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1298}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},rdfs__domain,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1306}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1275}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__name"":Food,""skos__prefLabel"":Food,""rdfs__label"":Food,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Food,""n4sch__label"":Food}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__name"":hasBase,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasBase}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},n4sch__DOMAIN,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""skos__prefLabel"":Unclosed Pizza,""n4sch__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""rdfs__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""n4sch__label"":UnclosedPizza,""n4sch__name"":UnclosedPizza,""rdfs__label"":UnclosedPizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#UnclosedPizza}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},n4sch__DOMAIN,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x960}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1134}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1018}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1147}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1091}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x973}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1064}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1189}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1201}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1072}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1168}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1345}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1388}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1251}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1221}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1207}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x990}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1113}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1265}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1008}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1238}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1120}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1046}",[Resource],{},rdf__first,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":SlicedTomatoTopping,""skos__prefLabel"":Sliced Tomato,""rdfs__label"":SlicedTomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SlicedTomatoTopping,""n4sch__label"":SlicedTomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":SundriedTomatoTopping,""skos__prefLabel"":Sundried Tomato,""rdfs__label"":SundriedTomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SundriedTomatoTopping,""n4sch__label"":SundriedTomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1295}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x999}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1203}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1140}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1229}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x966}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1067}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1081}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1244}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1336}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1180}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1216}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1194}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1038}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1116}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1106}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x982}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x955}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1055}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1257}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1161}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1012}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""uri"":bnode://node1f07tfve2x1129}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":SundriedTomatoTopping,""skos__prefLabel"":Sundried Tomato,""rdfs__label"":SundriedTomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SundriedTomatoTopping,""n4sch__label"":SundriedTomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":SlicedTomatoTopping,""skos__prefLabel"":Sliced Tomato,""rdfs__label"":SlicedTomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SlicedTomatoTopping,""n4sch__label"":SlicedTomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}"
"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}"
"{""n4sch__name"":PepperTopping,""skos__prefLabel"":Pepper,""rdfs__label"":PepperTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping,""n4sch__label"":PepperTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}"
